일,캠페인 이름,광고 세트 이름,광고 이름,게재 상태,게재 수준,광고 세트 이름,기여 설정,결과 유형,결과,도달,노출,링크 클릭,지출 금액 (KRW),ThruPlay,결과당 비용,품질 순위,참여율 순위,전환율 순위,웹사이트 구매,웹사이트 문의,보고 시작,보고 종료
2026-06-10,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260602,active,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1136,1457,4,19574,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260602,active,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,475,572,3,14135,,,-,-,-,1,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,10,10,,89,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,4,4,1,36,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,2040,2453,11,26406,28,,-,-,-,2,,2026-06-10,2026-06-10
2026-06-10,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,39,44,,261,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,5,5,,5,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,51,53,,308,,,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,7,1046,1118,9,2549,,364.14,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,4,4,4,,4,,1000,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,3,3,3,,2,,666.67,-,-,-,,,2026-06-10,2026-06-10
2026-06-10,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,4,4,4,,6,,1500,-,-,-,,,2026-06-10,2026-06-10
2026-06-09,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1518,1675,17,15896,48,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규2_260122,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,0,0,,0,,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,4,6,,41,1,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_finish_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,3,,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,39,40,2,162,1,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,07_ieltsacdemy_cv (수도권),07-1_ieltsacademy_cv_260608 (수도권),i_cv_free_leveltest_260608,active,ad,07-1_ieltsacademy_cv_260608 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,2,2,,10,,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,07_ieltsacdemy_cv (수도권),07-1_ieltsacademy_cv_260608 (수도권),i_cv_free_leveltest_260608,active,ad,07-1_ieltsacademy_cv_260608 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,3,3,,9,,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,07_ieltsacdemy_cv (수도권),07-1_ieltsacademy_cv_260608 (수도권),i_cv_free_leveltest_260608,active,ad,07-1_ieltsacademy_cv_260608 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,37,39,,492,,,-,-,-,,,2026-06-09,2026-06-09
2026-06-09,07_ieltsacdemy_cv (수도권),07-1_ieltsacademy_cv_260608 (수도권),i_cv_free_leveltest_260608,active,ad,07-1_ieltsacademy_cv_260608 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,134,152,1,1434,,,-,-,-,,,2026-06-09,2026-06-09
