일	기기	캠페인 유형	캠페인	광고그룹	광고 라벨	노출수	클릭수	통화 코드	비용	전환	TrueView 조회수
2026-05-03	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	12	0	KRW	7	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	96	2	KRW	225	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	12	1	KRW	17	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	137	1	KRW	75	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	"4,040"	131	KRW	7765	4.00	0
2026-05-03	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	453	14	KRW	727	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	117	0	KRW	65	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	504	18	KRW	1262	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	90	2	KRW	127	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts1.8months_260423	2	0	KRW	2	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts1.8months_260423	258	14	KRW	1782	0.00	100
2026-05-03	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts1.8months_260423	1	0	KRW	1	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_0wonselftest_260423	15	0	KRW	27	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_0wonselftest_260423	1	0	KRW	0	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	9	0	KRW	48	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	602	19	KRW	3321	4.00	230
2026-05-03	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_satisfaction93.4_260423	3	0	KRW	5	0.00	1
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_professional_instructor_260423	1	0	KRW	1	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_professional_instructor_260423	"2,082"	123	KRW	15154	6.00	574
2026-05-03	태블릿	디맨드젠 캠페인	DM_05_IELTS ACADEMY_VID (수도권)	05-01_IELTS ACADEMY_VID (수도권)	v_dm_professional_instructor_260423	3	0	KRW	96	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeclass_260423	3	0	KRW	1	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeclass_260423	"1,388"	40	KRW	8342	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeclass_260423	58	3	KRW	587	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeleveltest_260423	47	1	KRW	58	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_freeleveltest_260423	9	0	KRW	0	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_hightscore_260423	95	6	KRW	406	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-01_IELTS ACADEMY_IMG (수도권)	i_dm_hightscore_260423	5	0	KRW	2	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academystandard_260423	"3,089"	116	KRW	7804	7.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academystandard_260423	45	0	KRW	60	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_boostscorefast_universe_260423	599	16	KRW	1736	1.12	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_boostscorefast_universe_260423	17	0	KRW	15	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_ieltsstart_260423	1	0	KRW	0	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_ieltsstart_260423	161	4	KRW	382	0.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_ieltsstart_260423	10	0	KRW	10	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	4	0	KRW	1	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	321	8	KRW	908	2.00	0
2026-05-03	태블릿	디맨드젠 캠페인	DM_04_IELTS ACADEMY_IMG (수도권)	04-02_IELTS ACADEMY_IMG (수도권)	i_dm_academy_260423	22	0	KRW	14	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	18	0	KRW	18	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	598	51	KRW	6988	0.01	59
2026-05-03	태블릿	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_ielts7.5_260423	8	1	KRW	25	0.00	0
2026-05-03	컴퓨터	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	18	0	KRW	126	0.00	0
2026-05-03	휴대전화	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	413	34	KRW	3577	4.07	36
2026-05-03	태블릿	디맨드젠 캠페인	DM_01_IELTS ACADEMY_VID (수도권)	01-01_IELTS ACADEMY_VID (수도권)	v_dm_no1ielts_260423	8	0	KRW	22	0.00	1
2026-05-04	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	4	0	KRW	2	0.00	0
2026-05-04	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	64	2	KRW	2047	1.00	0
2026-05-04	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강2_260210	3	0	KRW	1	0.00	0
2026-05-04	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	52	1	KRW	26	0.00	0
2026-05-04	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	"2,364"	72	KRW	3827	2.00	0
2026-05-04	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강3_260210	228	2	KRW	390	0.00	0
2026-05-04	컴퓨터	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	99	0	KRW	38	0.00	0
2026-05-04	휴대전화	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	298	8	KRW	581	0.00	0
2026-05-04	태블릿	디맨드젠 캠페인	(어학원) 디맨드젠 캠페인_온라인특강_260210	디맨드젠_검색+리타겟_관심사	IMG_온라인특강5_260210	70	0	KRW	90	0.00	0
